ID,최초접수경찰서,발생경찰서,관할지구대(파출소),발생일시,발생위치-전체주소,검거죄종(7대),검거죄명,피의자,피해자,범죄사실,경도,위도
1,충북흥덕경찰서,충북흥덕경찰서,강서지구대,2013-03-03 2:40,청주시 흥덕구 강서동 507,절도,절도,1,1,피의자는 2013. 03. 초순 02:00경 청주시 흥덕구 강서동 507 3층에 있는 피해자 최희철의 강동건설 사무실에 아무도 없는 틈을 이용 알 수 없는 방법으로 출입문 시정장치를 열고 침입 피해자 소유 시가를 알 수 없는 텔레비전과 노트북을 가져가 이를 절취하였다.,127.4280279,36.62323642
2,서울중랑경찰서,서울중랑경찰서,상봉파출소,2014-12-09 5:00,서울 중랑구 망우로 290-2 2층,절도,특수절도,6,1,"피의자 이민형은 2015. 4. 3. 인천부천지청에서 특수절도 피의사건 혐의로 소년보호사건 처분받은 등 수사자료조회 상 특수절도 등 5범이고, 서울시 노원구에 위치한 기쁨렌트카에서 일하고 있다.
피의자 하상구는 2015. 4. 3. 인천부천지청에서 특수절도 피의사건 혐의로 소년보호사건 처분받은 등 수사자료조회 상 특수절도 등 10범이고, 서울시 노원구에 위치한 기쁨렌트카에서 일하고 있다.
피의자 김대성은 2015. 4. 3. 인천부천지청에서 특수절도 피의사건 혐의로 소년보호사건 처분받은 등 수사자료조회 상 특수절도 등 5범이고, 직업은 없다.
피의자 고관진은 2011. 4. 11. 서울동부지방검찰청에서 공갈 등 피의사건 혐의로 소년보호사건 처분 받는 등 수사자료조회 상 5범이고, 분실 또는 도난폰을 전문적으로 매입(일명:흔들이)하는 장물업자이다.
피의자 김진철는 2003. 7. 28. 수원성남지원에서 업무상실화 등 피의사건 혐의로 집행유예2년, 징역1년을 처분 받는 등 범죄자료조회 상6범으로, 개인택시 운전사이다.
피의자 김성민는 1968. 7. 26. 수원지방법원에서 절도 피의사건 혐의로 징역8월을 처분 받는 등 범죄자료조회 상 9범, 수사자료조회 상 도박 등 4범, 도합 13범으로, 삼이택시(주) 소속 운전사이다.
【 특수절도 】
피의자 이민형, 피의자 하상구, 피의자 김대성은 서울 중랑구 망우로 290-2 기분좋은텔레콤 2층 창고에 다수의 휴대폰이 보관되어 있다는 사실을 알고, 창고에 침입하여 휴대폰 등의 피해품을 절취하여 처분하기로 마음먹고, 각각 망을 보거나, 외부 창문을 통해 침입하기로 역할 공모한 후 범행하기로 공모했다.
1) 피의자 이민형, 피의자 하상구, 피의자 김대성 공동범행
2014. 12. 9. 05:00경 서울 중랑구 망우로 290-2 2층 기분좋은텔레콤 2층 창고 내에서, 피의자 이민형, 하상구가 망을 볼 때 피의자 김대성0이 2층 외부 창문을 통해 위 창고 창문으로 들어가 침입한 후 공범들이 창고 내부로 들어 올 수 있게 출입문을 열어 주었다. 그 후 피의자들은 동소에 보관된 시가 4,505,000원 상당의 휴대폰 7대와 시가 100만원 상당의 LG전자 노트북 1대, 현금 52,000원 도합 5,557,000원 상당을 절취한 것이다.
2) 피의자 이민형, 피의자 하상구 공동범행
위와 같은 날 05:30경 같은 장소에서, 그전 위와 같이 절취한 피해품을 피의자 김대성의 집에서 확인하던 중 발생장소에서 절취한 노트북 1대의 전기연결선과 또다른 노트북 1대를 절취하지 않은 사실을 알게 된 후 다시 찾아가 이를 절취하기로 마음먹었다.
피의자 이민형은 피의자 하상구와 함께 위 장소의 열려진 출입문을 통해 침입하여 동소에 보관된 시가 100만원 상당의 LG전자 노트북 1대와 노트북 전기연결선을 절취하였다.
이로써, 피의자들은 동소에 보관된 시가 4,505,000원 상당의 휴대폰 7대, 시가 100만원 상당의 LG전자 노트북 2대, 현금 52,000원 도합 6,557,000원 상당을 절취한 것이다.
【 장물취득, 피의자 고관진 범행 】
피의자는 불특정 다수의 택시운전사 등으로부터 분실 또는 도난 휴대폰을 매입하기 위해 도로상에서 자신의 휴대폰 바탕화면을 밝게 만들어 분실 또는 도난 휴대폰을 처분하려는 자가 자신의 위치를 알 수 있도록 위아래로 흔들며 문제폰을 매입한다는 신호를 보내고 있던 중
1) 2014. 12. 11. 03:00경 서울시 중랑구 사가정로 앞 노상(어린이대공원 방면에서 건국대 방면)에서, 검거된 휴대폰 매장털이 절도범 피의자 이민형 등3명이 절취한 시가 4,055,700원 상당의 휴대폰 5대가 절취한 휴대폰인 사실을 알면서도 그들로부터 91만원에 매수하여 장물을 취득하였다.
2) 위와 같은 달 12. 03:00경 같은 장소에서, 위와 같은 000이 가져 온 시가 399,300원 상당의 LG G3비트 휴대폰 1대가 절취한 장물인 사실을 알면서도 그로부터 4만원에 매수하여 장물을 취득하였다.
3) 2015. 5. 8. 01:45경 위와 같은 장소에서 서울31아6339호 개인택시 운전사 000로부터 도난 휴대폰이라는 사실을 알면서도 그로부터 시가 미상의 삼성노트3 휴대폰 1대를 3만원에 매수하여 장물을 취득하였다.
4) 위와 같은 날 02:00경 같은 장소에서 서울33자9060호 삼이택시 운전사 000로부터 도난 휴대폰이라는 사실을 알면서도 그로부터 시가 미상의 아이폰 1대를 3만원에 매수하여 장물을 취득하였다.
이로써, 피의자는 4,105,700원 상당의 휴대폰 6대가 절취한 장물인 사실을 인식하고 있었음에도 이를 95만원에 취득하는 등 4회에 걸쳐 도난 휴대폰 8대를 1,010,000원에 매수하여 장물을 취득하였다.
【 절도 】
택시 운전사인 피의자들은 승객이 분실한 휴대폰을 그들에게 되찾아 줘야 할 의무가 있음에도 불구하고, 이를 이행할 의사 없이 돈을 받고 처분할 목적으로 분실된 휴대폰의 전원을 끄거나, 차량 내 물품보관함에 넣어두는 방법으로 절취한 후 처분하기로 마음먹었다.
1) 피의자 김진철은 2015. 5. 8. 01:45경 서울시 중랑구 사가정로 앞 노상(어린이대공원 방면에서 건국대 방면)에서, 그전 서울 잠실에 위치한 롯데월드 앞에서 자신이 운행하는 서울31아6339호 개인택시 차량에 승객으로 태운 불상의 손님이 뒷좌석에 삼성노트3 휴대폰 1대를 두고 내린 것을 발견했다. 피의자는 이를 절취하여 문제폰 전문 매입업자에게 돈을 받고 처분할 목적으로 차량 조수석 보관함에 넣어 둔 후 절취한 휴대폰을 문제폰 전문 매입업자인 피의자 고관진에게 현금 3만원을 받고 처분하였다.
2) 피의자 김성민은 위와 같은 날 같은 장소에서, 그전 자신이 운행하는 서울33자9060호 삼이택시 차량에 승객으로 태운 불상의 손님이 조수석 의자 밑에 아이폰 1대를 두고 내린 것을 발견했다. 피의자는 이를 절취하여 문제폰 전문 매입업자에게 돈을 받고 처분할 목적으로 차량 조수석 보관함에 넣어 둔 후 절취한 휴대폰을 문제폰 전문 매입업자인 피의자 고관진에게 현금 3만원을 받고 처분하였다.
",127.0849691,37.59598324
3,부천원미경찰서,부천원미경찰서,송내지구대,2014-09-10 6:30,부천시 소사구 심곡본동 646-17 2층,절도,특수절도,1,1,"피의자 박철민은 2012년도에 강간등치상으로 징역3년에 집행유예 5년을 선고 받은 전력이 있는 자로, 현재 집행유예기간이다.
가. 피의자는 2014. 9. 10. 06:30경, 부천시 소사구 심곡본동 646-17 2층에 있는 피해자 송주용의 주거지에 주방 베란다 쪽 창문으로 가스 배관을 타고 올라가 방충망을 뜯어 내고 침입, 김치냉장고 위에 있던 그 집의 출입문 열쇠를 주머니에 넣어 절취하고, 
나. 계속하여 작은방으로 들어 가 윗옷을 탈의하고 잠을 자고 있는 피해자를 보고 욕정을 느껴 입으로 그녀의 가슴 유두 부위를 빠는 방법으로 강제추행 하였다.",126.7777141,37.47945639
4,광주광산경찰서,광주광산경찰서,수완지구대,2012-04-08 0:45,광주 광산구 신가동 975,절도,특수절도,5,1,"피의자 권혁, 비행소년 김진상, 비행소년 홍상수, 비행소년 노민상 같은 영천중학교 2학년, 비행소년 김중만은 상교중학교 2학년에 재학중인 학생으로 이들은 친구사이이다.
 피의자는 2012. 4. 8. 00:45경 광주 광산구 신가동 975에 있는 “샘물장어” 식당에서 물건을 절취할 것을 공모하고, 피의자 권혁과 비행소년 김진상은 망을 보는 사람이 많으면 발각될 확률이 높으므로 부근 공원에서 기다리기로 하였으며, 비행소년 홍상수는 체격이 작은 편이라 식당으로 직접 들어가기로, 비행소년 노민상, 비행소년 김중만는 식당 밖에서 망을 보기로 하였다. 
 비행소년 홍상수는 식당 주방에 있는 천막을 걷어올려 그 공간을 이용하여 넘어들어가 냉장고에 있는 하이트 맥주 500ml 6병, 코카콜라 355ml 3병 등을 꺼내다 위 식당 주인인 피해자 한국인(57세)에게 발각되었다
 이로써 피의자와 비행소년은 합동하여 시가미상의 재물을 절취하려다 그 뜻을 이루지 못하고 미수에 그쳤다.“",126.8341193,35.18567828
5,인천남동경찰서,인천남동경찰서,서창지구대,2012-12-07 0:05,인천 남동구 장수동 806-3,절도,특수절도,3,1,"피의자 박상철, 피의자 배국철, 촉법소년 진영일의 공동범행
피의자들과 촉법소년은 장수주공마트에서 물건을 훔치기 쉽자, 술과 식료품을 절취하기로 서로 공모하였다.
그리고 피의자들과 촉법소년은 2012. 12. 7. 00:50경 인천 남동구 장수동 806-3에 있는 박상준(53세)이 운영하는 장수주공마트에서, 촉법소년 진영일은 주변에서 망을 보고, 피의자 박상철은 마트의 천막 지퍼를 열고 안으로 들어가 훔칠 식료품 등을 피의자 배국철에게 건네주고, 피의자 배국철은 미리 구한 빈 박스에 식료품 등을 담았다.
이로써 피의자들과 촉법소년은 공동하여 피해자의 소유 시가 111,800원 상당의 식료품 등을 절취하였다.",126.7488943,37.45140681
6,전남여수경찰서,전남여수경찰서,율촌파출소,2015-01-23 21:30,여수시 구암1길 54번지,절도,야간주거침입절도,1,1,"피의자는 노동에 종사하는 자이다.
피의자는 2015. 1. 23. 21:30경 여수시 구암1길 54번지에 있는 피해자 백근주(여,53세) 집에 이르러 열린 문을 지나 안방까지 침입하여 그 곳에 놓여있던 피해자 소유인 시가 20,000원 상당의 검정색 레깅스 1점, 시가 50,000원 상당의 브레지어와 팬티 각 2벌, 시가6,000원 상당의 양말 2켤레 등 도합 76,000원 상당의 속옷을 가지고 나와 절취하였다.",127.6232042,34.84317705
7,인천남동경찰서,인천남동경찰서,만월지구대,2011-10-14 2:30,인천 남동구 만수동 1082번지 창대시장,절도,특수절도,3,2,"피의자 김형배, 피의자 김철민, 촉법소년 박기태 공동범행
 특수절도
 피의자들은 2011.10.14. 02:30경 인천 남동구 만수동 1082번지 창대시장내 피해자 김근섭(51세,남)이 운영하는 '남동건어물'의 천막을 들어올리고 들어가 그 곳에 있던 피해자소유의 시가 합계 35만원 상당의 이불 및 소세지 등 식료품을 절취하고,
 계속해서 위 남동건어물 옆에 붙어있는 피해자 김근섭(51세,남)이 운영하는 '창대과일'의 천막을 들어올리고 들어가 그 곳에 있던 피해자소유의 시가 합계 2만원 상당의 동전 및 바나나 등 과일을 절취하였다.
 이와같이 피의자들은 합동하여 피해자들의 재물을 절취하였다.",126.7352744,37.44657753
8,전남신안경찰서,전남신안경찰서,신의파출소,2015-01-24 23:00,전남 신안군 신의로 274-27,절도,야간주거침입절도,1,1,"피의자는 2015. 1. 24. 23:00경 전남 신안군 신의로 274-27에서 피해자 신동희(여, 29세)가 집을 비운 사이 화장실 창문을 열고 들어가 거실에 있던 피해자 소유의 돼지저금통 225,000원, 산시아 손목시계 200,000원 상당 등 합계 455,000원 상당의 물품을 절취하였다.",126.0725478,34.55699294
9,대구달서경찰서,대구달서경찰서,동덕지구대,2011-09-11 16:00,대구시 중구 삼덕동1가 39-14,절도,특정범죄가중처벌에관한법률위반(절도),1,1,"피의자는 2005. 8. 8. 부산지방법원에서 특수절도죄로 징역6월을 선고받은 외에 같은 종류의 전과가 6회 더 있다. 
 피의자는 아래와 같이 모두 44회에 걸쳐 상습으로 피해자들의 재물을 절취하였다. 
 피의자는 2011. 9.경 16:00경 대구시 중구 삼덕동1가 39-14 메디하트내과에서 피해자 정종헌(남, 44세)이 퇴근하고 없는 틈을 이용하여 출입문 앞 셔터 잠금장치 고리를 미리 가지고 간 절단기로 자르고 침입하여 접수대, 원장실 및 책상 서랍을 뒤졌으나 훔칠만한 현금이 없어 미수에 그쳤다.
 이와같이 피의자는 별지 범죄일람표와 같이 총44회 걸쳐 상습으로 총28,395,947원의 재물을 절취하였다. ",128.5981876,35.86497722
10,서울관악경찰서,서울관악경찰서,관악산지구대,2011-06-08 3:13,서울 관악구 신림동 92-94번지 201호,,주거침입,1,1,"피의자는 무직으로, 피해자 이준성(남,31)와는 건물주와 세입자 관계이다.
  2011. 6. 8. 시간불상경서울 관악구 신림동 92-94번지 201호 내에서, 피해자가 계약기간만료로 보증금 반환 요구를 하였으나 계약금액이 맞지 않다는 이유로 반환하지 아니하고 건외 김용녀(여,64세)와 계약한 후 피해자가 보관중이던 물품을 허락없이 건물 창고로 옮기기 위하여 그 주거에 침입하였다.",126.9351758,37.47868903
